internal_company_id,internal_company_name,internal_domain,internal_country,external_provider,external_provider_commit,external_ats_family,external_company_name,external_slug,external_url,match_class,match_basis,confidence_reason,verified,verified_at,jrc_support,source_multiplicity
EMP-07239,DSV,dsv.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,successfactors,Work for DSV and forward your career | DSV,jobs,https://jobs.dsv.com,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07242,Kuehne+Nagel,kuehne-nagel.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,cornerstone,Kuehne+Nagel,kuehne-nagel,https://kuehne-nagel.csod.com/ux/ats/careersite/1/home?c=kuehne-nagel,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07243,Maersk,maersk.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,teamtailor,Maersk,maersk,https://maersk.teamtailor.com,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07243,Maersk,maersk.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,A.P. Moller - Maersk (MCI Careers),maersk/MCI_Careers,https://maersk.wd3.myworkdayjobs.com/MCI_Careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07243,Maersk,maersk.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,A.P. Moller - Maersk,maersk/maersk_careers,https://maersk.wd3.myworkdayjobs.com/maersk_careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07243,Maersk,maersk.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,A.P. Moller - Maersk,maersk/maersk_manual,https://maersk.wd3.myworkdayjobs.com/maersk_manual,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07244,MSC,msc.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,bamboohr,msc,msc,https://msc.bamboohr.com/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07244,MSC,msc.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,cornerstone,MSC,https://msc.csod.com/ux/ats/careersite/4/home?c=msc,https://msc.csod.com/ux/ats/careersite/4/home?c=msc,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07244,MSC,msc.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,cornerstone,MSC,msc,https://msc.csod.com/ux/ats/careersite/1/home?c=msc,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07245,Siemens Mobility,siemens.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,teamtailor,Siemens,siemens,https://siemens.teamtailor.com,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07248,Electronic Arts,ea.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,avature,Electronic Arts,ea,https://ea.avature.net/careers/SearchJobs,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07249,Epic Games,epicgames.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,greenhouse,Epic Games,epicgames,https://job-boards.greenhouse.io/epicgames,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07249,Epic Games,epicgames.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,smartrecruiters,EpicGames,epicgames,https://careers.smartrecruiters.com/epicgames,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07250,Riot Games,riotgames.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,greenhouse,riotgames,riotgames,https://job-boards.greenhouse.io/riotgames,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07257,Monzo,monzo.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,greenhouse,Monzo,monzo,https://job-boards.greenhouse.io/monzo,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
